id,t,theme,text
osint_hormuz_control_claim_20260905,0,hormuz,Trump says he controls the Strait of Hormuz; tanker counts still below pre-war levels (REPORTED @TonyClimate 2026-09-05)
osint_iran_missile_claim_20260905,1,incident,Two ballistic missiles reportedly launched from Iran toward the Strait of Hormuz (REPORTED @hehe_samir 2026-09-05; UNCONFIRMED event)
osint_aj_fm_talks_20260906,2,control,Iran FM discusses Hormuz tensions with Turkiye and Saudi counterparts (REPORTED @AJENews 2026-09-06; diplomatic frame)
osint_ftn_titfortat_20260906b,3,incident,Tit-for-tat frame on Hormuz as battlefield (REPORTED @officialftntv 2026-09-06; UNCONFIRMED event package)
osint_nawfal_usaf_blockade_20260906b,4,control,USAF fighters/tankers framed as blockade of Iranian ports (REPORTED @MarioNawfal 2026-09-06; UNCONFIRMED operational claim)
osint_flow_deficit_tourniquet_20260906b,5,flow,Flows through Hormuz resume but a daily deficit remains (REPORTED @BrettErickson28 2026-09-06; flow-count frame)
osint_rezaei_restricted_zone_20260906late,6,control,SNSC secretary Rezaei quoted: new restricted zone beyond Hormuz; strait claimed closed (REPORTED via @P_F_Lherisson_ citing PressTV 2026-09-06 23:58 UTC; UNCONFIRMED event package)
osint_iran_restricted_zone_noah_20260906late,7,incident,EVENT line: Iran said it will declare a restricted zone beyond Hormuz (REPORTED @noahintel 2026-09-06 23:58 UTC; UNCONFIRMED)
osint_kaltsis_imo_piracy_frame_20260906late,8,control,IMO international-waterway vs harbour-master frame; piracy label (REPORTED @KaltsisGarden 2026-09-06 23:59 UTC; discourse frame)
osint_osn_10ships_20260906late,9,flow,Commercial traffic through Hormuz claimed plummeted to 10 ships daily (REPORTED @OSN_Reports 2026-09-06 23:57 UTC; UNCONFIRMED count)
osint_pragmatic_day190_20260907,10,flow,Hormuz effectively closed, Day 190; 7pct of pre-crisis traffic; war-risk 40x (REPORTED @Prahmatic17 2026-09-07 04:12 UTC; UNCONFIRMED counts)
osint_crisisaxis_sovereignty_20260907,11,control,Hormuz as sovereignty battle over who writes transit rules (REPORTED @CrisisAxis 2026-09-07 03:48 UTC; discourse frame)
osint_exportlagos_restricted_zone_20260907,12,energy,Restricted shipping zone outside Hormuz; freight/war-risk watch for West-Asia routes (REPORTED @exportlagos 2026-09-07 03:44 UTC)
osint_trump_territory_frame_20260906late,13,control,Trump-labeled-Hormuz-as-US-territory frame (REPORTED @TheMrXGuy1 2026-09-06 23:57 UTC; discourse frame, UNCONFIRMED as policy act)
osint_edbradley_exclusion_zone_20260907pm,14,control,Iran warning ships they could face sanctions if they enter a new restricted exclusion zone outside Hormuz (REPORTED @Ed_Bradley 2026-09-07 13:41 UTC; UNCONFIRMED enforcement)
osint_ltdmgmt_splash247_20260907pm,15,incident,Iran threatens wider Hormuz exclusion zone after tanker strikes (REPORTED @LTDManagement citing splash247.com 2026-09-07 13:35 UTC; UNCONFIRMED event package)
osint_azrael_tanker_reprice_20260907pm,16,energy,Crude desks treat Hormuz headlines as tanker-route risk; shipping rates framed as ready to reprice (REPORTED @azrael_options 2026-09-07 13:41 UTC; market frame)
osint_presstv_rezaei_restricted_20260907c,17,control,Rezaei: new restricted zone outside Hormuz in coming days; uncoordinated vessels to Iranian sanctions list (REPORTED @PressTV 2026-09-07 13:50 UTC; UNCONFIRMED enforcement)
osint_csn_flow_contradiction_20260907c,18,flow,Headline contradiction: Trump/Wright near-normal flows vs Rezaei fully-closed + 7-8 ships/day; CENTCOM 92 redirected / 3 disabled / 2 boarded as of Sep 6 (REPORTED @CSN24X7 2026-09-07 13:48 UTC; counts UNCONFIRMED here)
osint_justthenews_exclusion_20260907c,19,control,Exclusion-zone headline on Iran restricted area outside Hormuz (REPORTED @JustTheNews 2026-09-07 13:45 UTC; UNCONFIRMED enforcement)
